"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue","cpu","cpl","cppu","roi"
2023-06-01,yandex,cpc,freemium,103,21654,103,25,1654810,210.23,210.23,866.16,7542.05
2023-06-01,yandex,cpc,prof-frontend,78,57138,78,12,1057000,732.54,732.54,4761.50,1749.91
2023-06-01,yandex,cpc,prof-python,62,33026,62,7,613196,532.68,532.68,4718.00,1756.71
2023-06-01,yandex,cpc,base-python,31,12524,31,7,476021,404.00,404.00,1789.14,3700.87
2023-06-01,vk,cpc,prof-python,71,2028,40,5,355564,28.56,50.70,405.60,17432.74
2023-06-01,vk,cpc,freemium-frontend,80,3160,43,5,338083,39.50,73.49,632.00,10598.83
2023-06-01,yandex,cpc,prof-java,49,29490,49,4,284590,601.84,601.84,7372.50,865.04
2023-06-01,yandex,cpc,base-frontend,40,18061,40,3,268515,451.53,451.53,6020.33,1386.71
2023-06-01,vk,cpc,prof-java,51,3115,23,2,232726,61.08,135.43,1557.50,7371.14
2023-06-01,yandex,cpc,prof-data-analytics,14,10086,14,2,220264,720.43,720.43,5043.00,2083.86
2023-06-01,yandex,cpc,prof-professions-brand,13,4818,13,3,154287,370.62,370.62,1606.00,3102.30
2023-06-20,telegram,cpp,base-java,3,0,1,1,151192,0.00,0.00,0.00,
2023-06-01,yandex,cpc,dod-php,4,5964,4,1,150255,1491.00,1491.00,5964.00,2419.37
2023-06-01,yandex,cpc,base-professions-retarget,4,151,4,1,134100,37.75,37.75,151.00,88707.95
2023-06-07,vk,social,hexlet-blog,3,0,1,1,84000,0.00,0.00,0.00,
